time,X,Y,Z
16.336877822875977,-0.0,0.02,-9.74
16.361781120300293,0.0,0.02,-9.71
16.387405395507812,0.01,0.04,-9.7
16.41226077079773,0.0,0.04,-9.72
16.43719506263733,0.0,0.03,-9.71
16.462069988250732,0.0,0.03,-9.72
16.48627805709839,0.0,0.03,-9.72
16.51116132736206,0.0,0.02,-9.7
16.536060333251953,0.01,0.03,-9.72
16.560954093933105,0.0,0.03,-9.7
16.586633920669556,0.01,0.03,-9.73
16.61141324043274,0.01,0.03,-9.71
16.636483907699585,-0.0,0.03,-9.68
16.66132092475891,0.02,0.03,-9.71
16.685693979263306,0.0,0.03,-9.71
16.710436582565308,0.0,0.03,-9.71
16.735330820083618,0.02,0.02,-9.7
16.76022744178772,0.0,0.04,-9.69
16.785502433776855,0.02,0.03,-9.71
16.810707807540894,0.0,0.03,-9.72
16.83562207221985,0.0,0.03,-9.69
16.86058521270752,-0.0,0.01,-9.73
16.885271072387695,0.01,0.02,-9.72
16.909693479537964,0.02,0.03,-9.69
16.93459177017212,0.0,0.03,-9.71
16.95948338508606,0.02,0.03,-9.72
16.9845232963562,-0.0,0.02,-9.72
17.01006531715393,0.0,0.02,-9.7
17.03498864173889,0.01,0.02,-9.72
17.059836864471436,0.0,0.04,-9.74
17.084891319274902,0.0,0.02,-9.72
17.10894751548767,0.01,0.02,-9.71
17.133851528167725,0.01,0.03,-9.72
17.158741235733032,0.01,0.01,-9.7
17.183659076690674,0.0,0.03,-9.71
17.208542823791504,0.0,0.03,-9.72
17.233463287353516,0.0,0.03,-9.69
17.258411407470703,-0.0,0.02,-9.69
17.283348083496094,0.01,0.02,-9.71
17.308894634246826,0.0,0.03,-9.7
17.3338520526886,0.0,0.03,-9.71
17.358688831329346,0.0,0.03,-9.7
17.383728981018066,-0.01,0.01,-9.68
17.407902002334595,0.01,0.02,-9.73
17.432780027389526,0.02,0.04,-9.72
17.457674026489258,0.01,0.02,-9.71
17.48256540298462,0.02,0.04,-9.68
17.508085250854492,0.0,0.03,-9.71
17.533041954040527,0.01,0.02,-9.7
17.557929515838623,0.02,0.02,-9.7
17.582946300506592,-0.02,0.0,-9.74
17.607245683670044,-0.01,0.03,-9.7
17.632245302200317,-0.0,0.02,-9.7
17.65714192390442,0.0,0.02,-9.71
17.6820387840271,0.01,0.02,-9.71
17.707317113876343,0.01,0.03,-9.71
17.732516765594482,0.01,0.02,-9.72
17.757401943206787,0.01,0.01,-9.71
17.78230118751526,0.0,0.03,-9.73
17.806843519210815,0.01,0.02,-9.74
17.831413507461548,0.02,0.04,-9.7
17.8563072681427,0.0,0.04,-9.72
17.881208181381226,0.0,0.03,-9.7
17.90611433982849,0.01,0.03,-9.66
17.931000232696533,0.01,0.02,-9.73
17.955886363983154,0.01,0.04,-9.71
17.98078227043152,0.01,0.02,-9.72
18.005718231201172,0.01,0.02,-9.76
18.030761241912842,-0.0,0.02,-9.73
18.055766105651855,-0.0,0.02,-9.72
18.080645322799683,0.0,0.02,-9.7
18.105724573135376,0.01,0.02,-9.72
18.131032705307007,0.02,0.01,-9.75
18.15607523918152,-0.0,0.02,-9.71
18.180922269821167,0.0,0.03,-9.71
18.20584487915039,0.02,0.03,-9.71
18.230127096176147,-0.01,0.04,-9.69
18.25502872467041,0.0,0.03,-9.73
18.27993083000183,0.02,0.02,-9.74
18.30481791496277,0.0,0.02,-9.7
18.330410718917847,0.0,0.03,-9.73
18.355356454849243,0.01,0.03,-9.73
18.380181789398193,0.01,0.02,-9.72
18.40522861480713,-0.0,0.03,-9.7
18.429404735565186,0.01,0.03,-9.66
18.454298734664917,0.01,0.01,-9.73
18.479196071624756,0.0,0.02,-9.71
18.504080533981323,0.01,0.03,-9.72
18.529079914093018,0.0,0.02,-9.75
18.554309368133545,0.0,0.02,-9.72
18.579716444015503,0.0,0.03,-9.7
18.604630947113037,0.0,0.03,-9.7
18.629432201385498,0.02,0.01,-9.75
18.653470516204834,0.0,0.03,-9.71
18.678335189819336,0.0,0.03,-9.7
18.703224182128906,0.0,0.02,-9.71
18.72823214530945,-0.0,0.02,-9.71
18.75311303138733,0.0,0.02,-9.74
18.778013467788696,0.01,0.01,-9.71
18.80290412902832,0.0,0.02,-9.72
18.82782220840454,0.0,0.03,-9.72
18.853776693344116,-0.0,0.02,-9.71
18.87861466407776,0.0,0.03,-9.72
18.903586626052856,0.0,0.03,-9.72
18.92847967147827,0.0,0.03,-9.72
18.952392101287842,0.0,0.04,-9.71
18.977280616760254,0.0,0.02,-9.7
19.0021653175354,0.01,0.03,-9.71
19.027151346206665,-0.0,0.04,-9.71
19.053152322769165,-0.0,0.04,-9.75
19.077975749969482,0.01,0.04,-9.74
19.102909803390503,0.0,0.02,-9.7
19.12781858444214,0.0,0.02,-9.7
19.15184497833252,-0.0,0.03,-9.73
19.176735639572144,0.01,0.02,-9.71
19.20163893699646,0.01,0.02,-9.7
19.22653293609619,0.01,0.02,-9.69
19.252233266830444,0.0,0.02,-9.7
19.277409076690674,-0.01,0.01,-9.71
19.302261352539062,0.0,0.02,-9.72
19.327211141586304,0.0,0.02,-9.73
19.352075576782227,-0.0,0.03,-9.72
19.376134634017944,0.01,0.03,-9.69
19.401024103164673,0.01,0.02,-9.72
19.425928592681885,0.01,0.02,-9.72
19.45084500312805,0.0,0.03,-9.69
19.47580575942993,-0.01,0.03,-9.72
19.5007221698761,0.01,0.03,-9.73
19.52561092376709,0.0,0.03,-9.7
19.550505876541138,0.0,0.02,-9.7
19.575396299362183,0.01,0.03,-9.7
19.600390434265137,-0.0,0.02,-9.7
19.625388860702515,-0.0,0.02,-9.73
19.65028667449951,0.0,0.02,-9.73
19.675211906433105,0.01,0.03,-9.72
19.700082778930664,0.01,0.03,-9.72
19.72508478164673,-0.0,0.03,-9.72
19.749982118606567,0.01,0.02,-9.69
19.775887727737427,0.01,0.02,-9.72
19.80074429512024,0.01,0.03,-9.72
19.825762033462524,-0.0,0.01,-9.72
19.85059881210327,0.0,0.02,-9.75
19.87457799911499,0.01,0.03,-9.71
19.89945912361145,0.0,0.04,-9.71
19.92434287071228,0.01,0.03,-9.7
19.949234008789062,0.01,0.02,-9.7
19.97514533996582,0.01,0.03,-9.71
19.99998950958252,0.01,0.03,-9.7
20.02490735054016,0.02,0.02,-9.74
20.049732208251953,0.02,0.02,-9.71
20.073755979537964,0.01,0.02,-9.7
20.098623275756836,0.0,0.03,-9.74
20.123538970947266,0.02,0.02,-9.72
